name,source_table_name,dest_table_name,epsg,description,filetype,reftype,ref,state
blockgroups PA,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_42_bg.zip,synced
blockgroups PR,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_72_bg.zip,synced
blockgroups RI,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_44_bg.zip,ingest_done
blockgroups SC,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_45_bg.zip,synced
blockgroups SD,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_46_bg.zip,synced
blockgroups TN,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_47_bg.zip,synced
blockgroups TX,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_48_bg.zip,synced
blockgroups UT,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_49_bg.zip,synced
blockgroups VA,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_51_bg.zip,synced
blockgroups VT,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_50_bg.zip,synced
blockgroups WA,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_53_bg.zip,synced
blockgroups WI,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_55_bg.zip,synced
blockgroups WV,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_54_bg.zip,synced
blockgroups WY,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_56_bg.zip,synced
counties,,,4239,US County boundaries,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/COUNTY/tl_2015_us_county.zip,ingest_done
places AK,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_02_place.zip,synced
places AL,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_01_place.zip,synced
places AR,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_05_place.zip,synced
places AZ,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_04_place.zip,synced
places CA,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_06_place.zip,synced
places CO,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_08_place.zip,synced
places CT,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_09_place.zip,synced
places DC,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_11_place.zip,synced
places DE,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_10_place.zip,synced
places FL,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_12_place.zip,synced
places GA,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_13_place.zip,synced
places HI,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_15_place.zip,synced
places IA,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_19_place.zip,synced
places ID,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_16_place.zip,synced
places IL,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_17_place.zip,synced
places IN,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_18_place.zip,synced
places KS,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_20_place.zip,synced
places KY,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_21_place.zip,synced
places LA,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_22_place.zip,synced
places MA,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_25_place.zip,synced
places MD,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_24_place.zip,synced
places ME,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_23_place.zip,synced
places MI,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_26_place.zip,synced
places MN,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_27_place.zip,synced
places MO,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_29_place.zip,synced
places MS,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_28_place.zip,synced
places MT,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_30_place.zip,synced
places NC,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_37_place.zip,synced
places ND,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_38_place.zip,synced
places NE,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_31_place.zip,synced
places NH,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_33_place.zip,synced
places NJ,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_34_place.zip,synced
places NM,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_35_place.zip,synced
places NV,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_32_place.zip,synced
places NY,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_36_place.zip,synced
places OH,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_39_place.zip,synced
places OK,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_40_place.zip,synced
places OR,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_41_place.zip,synced
places PA,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_42_place.zip,synced
places PR,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_72_place.zip,synced
places RI,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_44_place.zip,ingest_done
places SC,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_45_place.zip,synced
places SD,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_46_place.zip,synced
places TN,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_47_place.zip,synced
places TX,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_48_place.zip,synced
places UT,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_49_place.zip,synced
places VA,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_51_place.zip,synced
places VT,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_50_place.zip,synced
places WA,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_53_place.zip,synced
places WI,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_55_place.zip,synced
places WV,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_54_place.zip,synced
places WY,places,places,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_56_place.zip,synced
states,,,4239,US State boundaries,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/STATE/tl_2015_us_state.zip,ingest_done
tracts AK,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_02_tract.zip,synced
tracts AL,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_01_tract.zip,synced
tracts AR,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_05_tract.zip,synced
tracts AZ,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_04_tract.zip,synced
tracts CA,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_06_tract.zip,synced
tracts CO,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_08_tract.zip,synced
tracts CT,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_09_tract.zip,synced
tracts DC,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_11_tract.zip,synced
tracts DE,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_10_tract.zip,synced
tracts FL,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_12_tract.zip,synced
tracts GA,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_13_tract.zip,synced
tracts HI,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_15_tract.zip,synced
tracts IA,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_19_tract.zip,synced
tracts ID,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_16_tract.zip,synced
tracts IL,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_17_tract.zip,synced
tracts IN,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_18_tract.zip,synced
tracts KS,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_20_tract.zip,synced
tracts KY,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_21_tract.zip,synced
tracts LA,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_22_tract.zip,synced
tracts MA,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_25_tract.zip,synced
tracts MD,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_24_tract.zip,synced
tracts ME,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_23_tract.zip,synced
tracts MI,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_26_tract.zip,synced
tracts MN,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_27_tract.zip,synced
tracts MO,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_29_tract.zip,synced
