id,stusab,chariter,sequence,logrecno,b08526001,b08526002,b08526003,b08526004,b08526005,b08526006,b08526007,b08526008,b08526009,b08526010,b08526011,b08526012,b08526013,b08526014,b08526015,b08526016,b08526017,b08526018,b08526019,b08526020,b08526021,b08526022,b08526023,b08526024,b08526025,b08526026,b08526027,b08526028,b08526029,b08526030,b08526031,b08526032,b08526033,b08526034,b08526035,b08526036,b08526037,b08526038,b08526039,b08526040,b08526041,b08526042,b08526043,b08526044,b08526045,b08526046,b08526047,b08526048,b08526049,b08526050,b08526051,b08526052,b08526053,b08526054,b08526055,b08526056,b08526057,b08526058,b08526059,b08526060,b08526061,b08526062,b08526063,b08526064,b08526065,b08526066,b08526067,b08526068,b08526069,b08526070,b08526071,b08526072,b08526073,b08526074,b08526075,b08526076,b08526077,b08526078,b08526079,b08526080,b08526081,b08526082,b08526083,b08526084,b08526085,b08526086,b08526087,b08526088,b08526089,b08526090,b08526091,b08526092,b08526093,b08526094,b08526095,b08526096,b08526097,b08526098,b08526099,b08526100,b08526101,b08526102,b08526103,b08526104,b08526105,jam_flags
2234,ca,000,0005,0043826,1031.0,96.0,68.0,71.0,0.0,176.0,47.0,0.0,0.0,29.0,469.0,61.0,14.0,0.0,0.0,652.0,11.0,15.0,27.0,0.0,113.0,28.0,0.0,0.0,7.0,388.0,49.0,14.0,0.0,0.0,220.0,72.0,0.0,44.0,0.0,63.0,0.0,0.0,0.0,0.0,29.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,95.0,13.0,10.0,0.0,0.0,0.0,9.0,0.0,0.0,22.0,41.0,0.0,0.0,0.0,0.0,
2235,ca,000,0005,0043827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
2236,ca,000,0005,0043828,5678.0,65.0,655.0,198.0,47.0,347.0,137.0,43.0,569.0,1067.0,788.0,1161.0,576.0,25.0,0.0,4410.0,53.0,473.0,180.0,40.0,329.0,112.0,12.0,439.0,662.0,755.0,925.0,417.0,13.0,0.0,713.0,12.0,182.0,18.0,0.0,18.0,0.0,20.0,9.0,153.0,21.0,153.0,127.0,0.0,0.0,66.0,0.0,0.0,0.0,7.0,0.0,25.0,0.0,0.0,0.0,0.0,12.0,22.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,32.0,0.0,12.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,33.0,0.0,11.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,108.0,169.0,12.0,28.0,10.0,0.0,0.0,
2237,ca,000,0005,0043829,1694.0,0.0,80.0,17.0,21.0,28.0,17.0,48.0,53.0,252.0,142.0,899.0,70.0,57.0,10.0,1345.0,0.0,76.0,7.0,21.0,28.0,17.0,10.0,53.0,139.0,131.0,773.0,44.0,46.0,0.0,86.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,22.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,10.0,200.0,0.0,0.0,10.0,0.0,0.0,0.0,38.0,0.0,113.0,0.0,28.0,0.0,11.0,0.0,
2238,ca,000,0005,0043830,966.0,248.0,115.0,341.0,142.0,12.0,4.0,0.0,0.0,43.0,38.0,0.0,16.0,7.0,0.0,609.0,104.0,24.0,254.0,133.0,12.0,4.0,0.0,0.0,25.0,30.0,0.0,16.0,7.0,0.0,199.0,118.0,53.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,26.0,38.0,68.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,
2239,ca,000,0005,0043831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
2240,ca,000,0005,0043832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
2241,ca,000,0005,0043833,706.0,101.0,114.0,87.0,9.0,24.0,14.0,13.0,15.0,0.0,209.0,35.0,73.0,12.0,0.0,452.0,89.0,77.0,49.0,9.0,24.0,14.0,0.0,0.0,0.0,146.0,9.0,35.0,0.0,0.0,128.0,12.0,37.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,31.0,0.0,37.0,0.0,0.0,
2242,ca,000,0005,0043834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
2243,ca,000,0005,0043835,4035.0,0.0,792.0,42.0,45.0,370.0,104.0,10.0,257.0,395.0,931.0,499.0,421.0,169.0,0.0,2813.0,0.0,642.0,29.0,36.0,239.0,92.0,0.0,181.0,127.0,697.0,380.0,256.0,134.0,0.0,460.0,0.0,83.0,13.0,9.0,32.0,0.0,0.0,10.0,63.0,132.0,41.0,77.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,22.0,0.0,0.0,0.0,14.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,13.0,0.0,0.0,0.0,0.0,525.0,0.0,67.0,0.0,0.0,0.0,12.0,10.0,33.0,205.0,89.0,0.0,74.0,35.0,0.0,
2244,ca,000,0005,0043836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
2245,ca,000,0005,0043837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
2246,ca,000,0005,0043838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
2247,ca,000,0005,0043839,15114.0,9.0,839.0,1147.0,645.0,1427.0,372.0,242.0,3101.0,1749.0,2706.0,1117.0,741.0,998.0,21.0,11788.0,9.0,657.0,895.0,391.0,1068.0,257.0,170.0,2575.0,1344.0,2283.0,778.0,525.0,836.0,0.0,1585.0,0.0,147.0,144.0,85.0,131.0,71.0,11.0,289.0,127.0,240.0,107.0,93.0,140.0,0.0,259.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,26.0,0.0,37.0,166.0,0.0,7.0,0.0,121.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,31.0,20.0,15.0,22.0,16.0,0.0,0.0,28.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.0,0.0,35.0,108.0,163.0,183.0,33.0,61.0,174.0,258.0,131.0,44.0,107.0,15.0,21.0,
2248,ca,000,0005,0043840,2708.0,0.0,347.0,341.0,115.0,639.0,179.0,95.0,161.0,185.0,465.0,78.0,97.0,6.0,0.0,2304.0,0.0,258.0,272.0,115.0,533.0,164.0,81.0,152.0,121.0,427.0,78.0,97.0,6.0,0.0,295.0,0.0,89.0,39.0,0.0,106.0,0.0,0.0,0.0,33.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,12.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,18.0,0.0,0.0,0.0,14.0,9.0,31.0,10.0,0.0,0.0,0.0,0.0,
2249,ca,000,0005,0043841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
2250,ca,000,0005,0043842,6637.0,410.0,174.0,1322.0,766.0,1099.0,293.0,55.0,207.0,299.0,1371.0,265.0,242.0,134.0,0.0,5050.0,272.0,89.0,1011.0,596.0,906.0,247.0,55.0,146.0,225.0,984.0,223.0,185.0,111.0,0.0,1173.0,113.0,37.0,258.0,118.0,165.0,46.0,0.0,0.0,51.0,289.0,37.0,47.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,34.0,27.0,12.0,10.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,11.0,0.0,121.0,14.0,14.0,16.0,40.0,0.0,0.0,0.0,32.0,0.0,0.0,5.0,0.0,0.0,0.0,175.0,11.0,0.0,10.0,0.0,13.0,0.0,0.0,29.0,11.0,91.0,0.0,10.0,0.0,0.0,
2251,ca,000,0005,0043843,1882.0,0.0,200.0,11.0,122.0,159.0,50.0,48.0,332.0,306.0,158.0,192.0,296.0,8.0,0.0,1335.0,0.0,106.0,11.0,108.0,131.0,45.0,17.0,274.0,136.0,104.0,156.0,239.0,8.0,0.0,209.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,15.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,12.0,0.0,14.0,16.0,5.0,31.0,21.0,91.0,16.0,21.0,38.0,0.0,0.0,
2252,ca,000,0005,0043844,6013.0,114.0,729.0,503.0,454.0,1150.0,276.0,93.0,321.0,382.0,792.0,708.0,280.0,211.0,0.0,4466.0,105.0,556.0,432.0,270.0,808.0,232.0,29.0,184.0,242.0,644.0,545.0,246.0,173.0,0.0,1022.0,0.0,138.0,50.0,93.0,290.0,31.0,23.0,54.0,101.0,88.0,131.0,23.0,0.0,0.0,14.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,9.0,0.0,27.0,0.0,0.0,83.0,0.0,0.0,20.0,0.0,0.0,0.0,239.0,0.0,35.0,0.0,70.0,25.0,13.0,29.0,0.0,0.0,30.0,12.0,0.0,25.0,0.0,133.0,9.0,0.0,12.0,10.0,0.0,0.0,12.0,0.0,36.0,30.0,0.0,11.0,13.0,0.0,
2253,ca,000,0005,0043845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
2254,ca,000,0005,0043846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
